view,country,x,textArray,arrowDirection,arrowPath1,arrowPath2,arrowPath3,textOffsetX,textOffsetY,textAnchor,xUnformatted,manualTextSplit,textLines
0,Argentina,2022-Nov-22 11:43:09.000,Argentina's world cup began|in disastrous fashion as|they surrendered an early|lead to  lose to Saudi Arabia,s,5,0,-5,-20,0,middle,Tue Nov 22 2022 11:43:09 GMT+0000 (Greenwich Mean Time),T,
0,Argentina,2022-Nov-26 20:25:52.000,The bookies' confidence in|Argentina hit its lowest point|as they struggled to make|a breakthrough against Mexico,s,90,-30,0,0,-20,end,Sat Nov 26 2022 20:25:52 GMT+0000 (Greenwich Mean Time),T,
0,Argentina,2022-Dec-09 20:53:30.000,"Argentina were seemingly cruising|into the quarter-finals after a Messi|penalty doubled their lead, but then…",se,10,-10,0,0,-20,end,Fri Dec 09 2022 20:53:30 GMT+0000 (Greenwich Mean Time),T,
0,Argentina,2022-Dec-09 21:43:03.000,"…the Netherlands' switch to ""route one"" football|shifted the momentum of the tie, and|the Dutch equalised in the dying minutes",n,3,0,2,20,0,middle,Fri Dec 09 2022 21:43:03 GMT+0000 (Greenwich Mean Time),T,
0,Argentina,2022-Dec-18 16:13:42.000,"With a two-goal lead and Argentina|in complete control, bookmakers gave|them a +90% chance of victory",e,10,-5,0,0,-5,end,Sun Dec 18 2022 16:13:42 GMT+0000 (Greenwich Mean Time),T,
0,Argentina,2022-Dec-18 16:57:21.000,"Two Mbappe goals in just|95 seconds sunk Argentina's|chances back to 50%, exactly|where they were at the|beginning of the game",n,10,25,0,0,-10,start,Sun Dec 18 2022 16:57:21 GMT+0000 (Greenwich Mean Time),T,
0,Argentina,2022-Dec-18 17:37:20.000,Extra-time goals for Messi|and then Mbappe sent Argentina's|odds yo-yoing once more,w,10,2,0,0,-10,start,Sun Dec 18 2022 17:37:20 GMT+0000 (Greenwich Mean Time),T,
0,Australia,2022-Nov-30 21:06:41.000,"Despite qualifying from their group with|two wins, bookmakers remained unconvinced|that Australia were a serious threat to win it all.| Their odds peaked at just 0.4%.",s,20,-20,0,0,-20,end,Wed Nov 30 2022 21:06:41 GMT+0000 (Greenwich Mean Time),T,
0,Australia,2022-Nov-22 19:32:36.000,"Australia's odds increased after they|took a shock early lead in their opening|game against France, but it was not to last",s,20,0,-50,0,0,middle,Tue Nov 22 2022 19:32:36 GMT+0000 (Greenwich Mean Time),T,
0,Belgium,2022-Nov-12 00:16:00.000,Bookmakers downgraded Belguim's|chances of winning the World|Cup in the months leading|up to the tournament,sw,15,0,-20,0,0,middle,Sat Nov 12 2022 00:16:00 GMT+0000 (Greenwich Mean Time),T,
0,Belgium,2022-Nov-24 12:21:51.000,Despite winning their opening game|Belguim's odds fell due to their|lackluster performance,ne,10,0,15,0,0,middle,Thu Nov 24 2022 12:21:51 GMT+0000 (Greenwich Mean Time),T,
0,Belgium,2022-Nov-27 14:42:49.000,Belgium's chances fell further following|Romain Saiss's goal for Morocco. Defeat left|Belgium needing to win their final|group game to progress,sw,10,0,-40,0,0,middle,Sun Nov 27 2022 14:42:49 GMT+0000 (Greenwich Mean Time),T,
0,Belgium,2022-Dec-01 16:37:02.000,"Belgium had many chances to take|the lead against Croatia but could|not convert, resulting in an early exit",s,10,0,-3,0,0,middle,Thu Dec 01 2022 16:37:02 GMT+0000 (Greenwich Mean Time),T,
0,Brazil,2022-Nov-20 16:01:39.000,Brazil's were favourties on the|eve of the tournament,s,10,0,-20,0,0,middle,Sun Nov 20 2022 16:01:39 GMT+0000 (Greenwich Mean Time),T,
0,Brazil,2022-Dec-01 20:56:55.000,Brazil's odds increased by 3 points|after shock results in Group E|ensured they would not have to play|Spain or Germany in the quarter-finals,se,30,0,-10,0,0,middle,Thu Dec 01 2022 20:56:55 GMT+0000 (Greenwich Mean Time),T,
0,Brazil,2022-Dec-09 16:46:50.000,The chances of Brazil winning it all|drifted as they failed to score against|Croatia in 90 minutes,ne,15,0,20,-20,0,middle,Fri Dec 09 2022 16:46:50 GMT+0000 (Greenwich Mean Time),T,
0,Brazil,2022-Dec-09 17:27:30.000,Brazil's odds peaked after|Neymar's extra time goal…,s,5,-20,0,0,-8,end,Fri Dec 09 2022 17:27:30 GMT+0000 (Greenwich Mean Time),T,
0,Brazil,2022-Dec-09 17:54:27.000,"…but with minutes left, Croatia equalised|with their first shot on target, taking|the game to penalties",w,10,5,0,0,-8,start,Fri Dec 09 2022 17:54:27 GMT+0000 (Greenwich Mean Time),T,
0,Cameroon,2022-Nov-28 10:49:19.000,"Cameroon's odds briefly jumped when they opened|the scoring against Serbia, but they would then|concede two quick goals just before half time",s,10,0,-5,0,0,middle,Mon Nov 28 2022 10:49:19 GMT+0000 (Greenwich Mean Time),T,
0,Cameroon,2022-Dec-02 20:59:57.000,A late winner against favourites Brazil was|not enough to see Cameroon qualify for|the knockout stages due to Switzerland's|win against Serbia,sw,20,20,0,0,-25,start,Fri Dec 02 2022 20:59:57 GMT+0000 (Greenwich Mean Time),T,
0,Canada,2022-Nov-23 19:44:34.000,"Canada's odds increased slightly as|they dominated the first half against|Belgium. By the final whistle, the North|American side had attempted 22|shots but failed to score",se,10,0,-20,-10,0,middle,Wed Nov 23 2022 19:44:34 GMT+0000 (Greenwich Mean Time),T,
0,Canada,2022-Nov-27 16:33:14.000,"Alphonso Davies' early goal gave Canada|the lead against Croatia, giving them|real hope of escaping the group",s,12,0,-2,10,0,middle,Sun Nov 27 2022 16:33:14 GMT+0000 (Greenwich Mean Time),T,
0,Canada,2022-Dec-01 14:58:31.000,"With two defeats, Canada were one of|the few nations to be eliminated before|their final group game. Ultimately,|Morocco also proved too tough a task|for the Canadians",sw,20,30,0,0,-25,start,Thu Dec 01 2022 14:58:31 GMT+0000 (Greenwich Mean Time),T,
0,Costa Rica,2022-Dec-01 20:33:34.000,When Costa Rica took the lead against Germany|they were briefly on course to qualify from|Group E alongside Japan,s,20,0,-5,0,0,middle,Thu Dec 01 2022 20:33:34 GMT+0000 (Greenwich Mean Time),T,
0,Croatia,2022-Nov-22 21:03:51.000,"Despite reaching the final in 2018,|bookies viewed Croatia as a long shot|to win in Qatar",s,10,0,-5,0,0,middle,Tue Nov 22 2022 21:03:51 GMT+0000 (Greenwich Mean Time),T,
0,Croatia,2022-Nov-27 16:33:13.000,"Croatia's odds dipped after they conceded|to Canada, putting them at risk|of securing just a single point from their|opening two games",s,30,0,-25,0,0,middle,Sun Nov 27 2022 16:33:13 GMT+0000 (Greenwich Mean Time),T,
0,Croatia,2022-Dec-05 16:44:33.000,Perisic's equaliser boosted|Croatia's title chances,s,20,-10,0,0,-10,end,Mon Dec 05 2022 16:44:33 GMT+0000 (Greenwich Mean Time),T,
