Date,StartTime (QT),Team1,Team2,Stage,StartTime (UTC),DateFormatted,StartDateTime,EndDateTime,Result,Score,Penalties
"Nov 20, 2022",19:00,Qatar,Ecuador,Group,16:00,20/11/2022,2022-11-20 16:00:00.000,2022-11-20 18:00:00.000,Loss,0-2,
"Nov 21, 2022",16:00,England,Iran,Group,13:00,21/11/2022,2022-11-21 13:00:00.000,2022-11-21 15:00:00.000,Win,6-2,
"Nov 21, 2022",19:00,Senegal,Netherlands,Group,16:00,21/11/2022,2022-11-21 16:00:00.000,2022-11-21 18:00:00.000,Loss,0-2,
"Nov 21, 2022",22:00,USA,Wales,Group,19:00,21/11/2022,2022-11-21 19:00:00.000,2022-11-21 21:00:00.000,Draw,1-1,
"Nov 22, 2022",13:00,Argentina,Saudi Arabia,Group,10:00,22/11/2022,2022-11-22 10:00:00.000,2022-11-22 12:00:00.000,Loss,1-2,
"Nov 22, 2022",16:00,Denmark,Tunisia,Group,13:00,22/11/2022,2022-11-22 13:00:00.000,2022-11-22 15:00:00.000,Draw,0-0,
"Nov 22, 2022",19:00,Mexico,Poland,Group,16:00,22/11/2022,2022-11-22 16:00:00.000,2022-11-22 18:00:00.000,Draw,0-0,
"Nov 22, 2022",22:00,France,Australia,Group,19:00,22/11/2022,2022-11-22 19:00:00.000,2022-11-22 21:00:00.000,Win,4-1,
"Nov 23, 2022",13:00,Morocco,Croatia,Group,10:00,23/11/2022,2022-11-23 10:00:00.000,2022-11-23 12:00:00.000,Draw,0-0,
"Nov 23, 2022",16:00,Germany,Japan,Group,13:00,23/11/2022,2022-11-23 13:00:00.000,2022-11-23 15:00:00.000,Loss,1-2,
"Nov 23, 2022",19:00,Spain,Costa Rica,Group,16:00,23/11/2022,2022-11-23 16:00:00.000,2022-11-23 18:00:00.000,Win,7-0,
"Nov 23, 2022",22:00,Belgium,Canada,Group,19:00,23/11/2022,2022-11-23 19:00:00.000,2022-11-23 21:00:00.000,Win,1-0,
"Nov 24, 2022",13:00,Switzerland,Cameroon,Group,10:00,24/11/2022,2022-11-24 10:00:00.000,2022-11-24 12:00:00.000,Win,1-0,
"Nov 24, 2022",16:00,Uruguay,South Korea,Group,13:00,24/11/2022,2022-11-24 13:00:00.000,2022-11-24 15:00:00.000,Draw,0-0,
"Nov 24, 2022",19:00,Portugal,Ghana,Group,16:00,24/11/2022,2022-11-24 16:00:00.000,2022-11-24 18:00:00.000,Win,3-2,
"Nov 24, 2022",22:00,Brazil,Serbia,Group,19:00,24/11/2022,2022-11-24 19:00:00.000,2022-11-24 21:00:00.000,Win,2-0,
"Nov 25, 2022",13:00,Wales,Iran,Group,10:00,25/11/2022,2022-11-25 10:00:00.000,2022-11-25 12:00:00.000,Loss,0-2,
