country,prob,currDateTime
Brazil,0.201204221,21/11/2022 12:30:44
Argentina,0.136519945,21/11/2022 12:30:44
France,0.09612959,21/11/2022 12:30:44
Spain,0.087839197,21/11/2022 12:30:44
England,0.089296795,21/11/2022 12:30:44
Germany,0.073317553,21/11/2022 12:30:44
Netherlands,0.065405514,21/11/2022 12:30:44
Portugal,0.05645113,21/11/2022 12:30:45
Belgium,0.044437481,21/11/2022 12:30:45
Denmark,0.029995061,21/11/2022 12:30:45
Uruguay,0.021435706,21/11/2022 12:30:45
Croatia,0.015246305,21/11/2022 12:30:45
Serbia,0.009808644,21/11/2022 12:30:45
Switzerland,0.008398423,21/11/2022 12:30:45
Ecuador,0.008209124,21/11/2022 12:30:45
Senegal,0.006750324,21/11/2022 12:30:45
Mexico,0.006276392,21/11/2022 12:30:45
USA,0.005988045,21/11/2022 12:30:45
Poland,0.005380493,21/11/2022 12:30:45
Wales,0.004755149,21/11/2022 12:30:45
Australia,0.002167279,21/11/2022 12:30:45
Morocco,0.00334997,21/11/2022 12:30:45
Japan,0.00312344,21/11/2022 12:30:45
Canada,0.002977904,21/11/2022 12:30:45
South Korea,0.00295758,21/11/2022 12:30:45
Cameroon,0.00265052,21/11/2022 12:30:45
Ghana,0.00258274,21/11/2022 12:30:45
Iran,0.001701356,21/11/2022 12:30:45
Tunisia,0.001662997,21/11/2022 12:30:45
Saudi Arabia,0.001347709,21/11/2022 12:30:45
Costa Rica,0.001381737,21/11/2022 12:30:45
Qatar,0.001251678,21/11/2022 12:30:45
Brazil,0.202967133,21/11/2022 16:22:30
Argentina,0.137096137,21/11/2022 16:22:30
England,0.08945761,21/11/2022 16:22:30
France,0.096122398,21/11/2022 16:22:30
Spain,0.087648347,21/11/2022 16:22:30
Germany,0.07305959,21/11/2022 16:22:30
Netherlands,0.06523123,21/11/2022 16:22:30
Portugal,0.056717247,21/11/2022 16:22:30
Belgium,0.04434804,21/11/2022 16:22:30
Denmark,0.029433231,21/11/2022 16:22:30
Uruguay,0.021303783,21/11/2022 16:22:30
Croatia,0.015376301,21/11/2022 16:22:30
Serbia,0.009691118,21/11/2022 16:22:30
Switzerland,0.008336644,21/11/2022 16:22:30
Senegal,0.006705313,21/11/2022 16:22:30
Ecuador,0.00788826,21/11/2022 16:22:30
Mexico,0.006116745,21/11/2022 16:22:30
USA,0.005858932,21/11/2022 16:22:31
Wales,0.004874291,21/11/2022 16:22:31
Poland,0.005348187,21/11/2022 16:22:31
Morocco,0.003274579,21/11/2022 16:22:31
Australia,0.002204562,21/11/2022 16:22:31
Japan,0.003076036,21/11/2022 16:22:31
Canada,0.002763735,21/11/2022 16:22:31
South Korea,0.002782107,21/11/2022 16:22:31
Cameroon,0.002480863,21/11/2022 16:22:31
Ghana,0.002424006,21/11/2022 16:22:31
Iran,0.001713067,21/11/2022 16:22:31
Tunisia,0.001663945,21/11/2022 16:22:31
Saudi Arabia,0.001385807,21/11/2022 16:22:31
Costa Rica,0.001400072,21/11/2022 16:22:31
Qatar,0.001250686,21/11/2022 16:22:31
Brazil,0.202640849,21/11/2022 17:45:05
Argentina,0.137114439,21/11/2022 17:45:05
England,0.089111981,21/11/2022 17:45:05
France,0.096167578,21/11/2022 17:45:05
Spain,0.08760734,21/11/2022 17:45:05
Germany,0.07315477,21/11/2022 17:45:05
Portugal,0.056631512,21/11/2022 17:45:05
Netherlands,0.065404663,21/11/2022 17:45:05
Belgium,0.044301589,21/11/2022 17:45:05
Denmark,0.029714533,21/11/2022 17:45:05
Uruguay,0.021450136,21/11/2022 17:45:05
Croatia,0.015224445,21/11/2022 17:45:05
Serbia,0.009715463,21/11/2022 17:45:05
Switzerland,0.008328205,21/11/2022 17:45:05
Senegal,0.006702335,21/11/2022 17:45:05
Ecuador,0.0080019,21/11/2022 17:45:05
Mexico,0.006138005,21/11/2022 17:45:05
USA,0.005892961,21/11/2022 17:45:05
Wales,0.004807711,21/11/2022 17:45:05
Poland,0.005353835,21/11/2022 17:45:05
Morocco,0.003275146,21/11/2022 17:45:05
Australia,0.002176912,21/11/2022 17:45:05
Japan,0.003086437,21/11/2022 17:45:05
Canada,0.002789604,21/11/2022 17:45:05
South Korea,0.002847553,21/11/2022 17:45:05
Cameroon,0.002520743,21/11/2022 17:45:05
Ghana,0.002466702,21/11/2022 17:45:05
Iran,0.00170976,21/11/2022 17:45:06
Tunisia,0.001663071,21/11/2022 17:45:06
Saudi Arabia,0.001371565,21/11/2022 17:45:06
Costa Rica,0.001385123,21/11/2022 17:45:06
Qatar,0.001243137,21/11/2022 17:45:06
